cdate,site,run,day,round,time.of.day,treatment,plot,plant,visits,focal.abun,plot.temp,norm.time,obs.visits,obs.rates
2018-07-01,Freiburg,1,1,1,am,no,C1,Cre_cap,9,101,24,0.159371415,5,0.04950495
2018-07-01,Freiburg,1,1,1,am,no,C1,Pla_lan,8,101,24,0.159371415,1,0.033333333
2018-07-01,Freiburg,1,1,1,am,no,C1,Tri_arv,6,101,24,0.159371415,0,0
2018-07-01,Freiburg,1,1,1,am,no,C1,Tri_pra,0,101,24,0.159371415,1,0.037037037
2018-07-01,Freiburg,1,1,1,am,no,C2,Ach_mil,0,500,24.16666667,0.185446581,0,0
2018-07-01,Freiburg,1,1,1,am,no,C2,Cre_cap,21,500,24.16666667,0.185446581,11,0.022
2018-07-01,Freiburg,1,1,1,am,no,C2,Gal_mol,0,500,24.16666667,0.185446581,0,0
2018-07-01,Freiburg,1,1,1,am,no,C2,Lot_cor,0,500,24.16666667,0.185446581,0,0
2018-07-01,Freiburg,1,1,1,am,no,C2,Pla_lan,0,500,24.16666667,0.185446581,2,0.666666667
2018-07-01,Freiburg,1,1,1,am,no,C3,Cre_cap,9,167,24.5,0.217779787,6,0.035928144
2018-07-01,Freiburg,1,1,1,am,no,C3,Gal_mol,0,167,24.5,0.217779787,0,0
2018-07-01,Freiburg,1,1,1,am,no,C3,Hyp_rad,1,167,24.5,0.217779787,3,0.3
2018-07-01,Freiburg,1,1,1,am,no,C3,Lot_cor,0,167,24.5,0.217779787,0,0
2018-07-01,Freiburg,1,1,1,am,no,C3,Pla_lan,0,167,24.5,0.217779787,3,0.130434783
2018-07-01,Freiburg,1,1,1,am,no,C4,Cre_cap,6,225,25,0.230295866,9,0.04
2018-07-01,Freiburg,1,1,1,am,no,C4,Gal_mol,0,225,25,0.230295866,0,0
2018-07-01,Freiburg,1,1,1,am,no,C4,Hyp_rad,2,225,25,0.230295866,3,0.176470588
2018-07-01,Freiburg,1,1,1,am,no,C4,Pim_sax,8,225,25,0.230295866,1,0.000462963
2018-07-01,Freiburg,1,1,1,am,no,C4,Pla_lan,5,225,25,0.230295866,1,0.111111111
2018-07-01,Freiburg,1,1,1,am,no,C4,Ste_sp,0,225,25,0.230295866,0,0
2018-07-01,Freiburg,1,1,1,am,no,C4,Thy_vul,3,225,25,0.230295866,4,0.011764706
2018-07-01,Freiburg,1,1,1,am,no,C5,Ach_mil,0,315,27,0.266801099,0,0
2018-07-01,Freiburg,1,1,1,am,no,C5,Cre_cap,27,315,27,0.266801099,10,0.031746032
2018-07-01,Freiburg,1,1,1,am,no,C5,Gal_mol,0,315,27,0.266801099,0,0
2018-07-01,Freiburg,1,1,1,am,no,C5,Pla_lan,5,315,27,0.266801099,1,0.1
2018-07-01,Freiburg,1,1,1,am,yes,T1,Cre_cap,3,184,24,0.172930501,8,0.043478261
2018-07-01,Freiburg,1,1,1,am,yes,T1,Gal_mol,0,184,24,0.172930501,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T1,Leo_aut,0,184,24,0.172930501,1,0.066666667
2018-07-01,Freiburg,1,1,1,am,yes,T1,Pla_lan,5,184,24,0.172930501,2,0.0625
2018-07-01,Freiburg,1,1,1,am,yes,T1,Tri_pra,0,184,24,0.172930501,3,0.157894737
2018-07-01,Freiburg,1,1,1,am,yes,T1,Tri_rep,0,184,24,0.172930501,2,0.064516129
2018-07-01,Freiburg,1,1,1,am,yes,T2,Ach_mil,0,220,24,0.20109168,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T2,Cre_cap,20,220,24,0.20109168,12,0.054545455
2018-07-01,Freiburg,1,1,1,am,yes,T2,Gal_mol,0,220,24,0.20109168,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T2,Lot_cor,0,220,24,0.20109168,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T2,Pla_lan,0,220,24,0.20109168,3,0.230769231
2018-07-01,Freiburg,1,1,1,am,yes,T3,Cre_cap,20,250,25.66666667,0.244897959,19,0.076
2018-07-01,Freiburg,1,1,1,am,yes,T3,Gal_mol,0,250,25.66666667,0.244897959,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T3,Lot_cor,0,250,25.66666667,0.244897959,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T3,Thy_vul,0,250,25.66666667,0.244897959,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T4,Cre_cap,15,340,26.66666667,0.257414039,8,0.023529412
2018-07-01,Freiburg,1,1,1,am,yes,T4,Dau_car,0,340,26.66666667,0.257414039,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T4,Pim_sax,0,340,26.66666667,0.257414039,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T4,Thy_vul,6,340,26.66666667,0.257414039,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T4,Tri_arv,0,340,26.66666667,0.257414039,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T5,Cre_cap,21,130,27.5,0.275145152,8,0.061538462
2018-07-01,Freiburg,1,1,1,am,yes,T5,Dau_car,0,130,27.5,0.275145152,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T5,Pim_sax,0,130,27.5,0.275145152,0,0
2018-07-01,Freiburg,1,1,1,am,yes,T5,Pla_lan,0,130,27.5,0.275145152,2,0.25
2018-07-01,Freiburg,1,1,1,am,yes,T5,Thy_vul,0,130,27.5,0.275145152,0,0
2018-07-01,Freiburg,1,1,2,am,no,C1,Cre_cap,2,110,29.66666667,0.346069603,3,0.027272727
2018-07-01,Freiburg,1,1,2,am,no,C1,Gal_mol,0,110,29.66666667,0.346069603,0,0
2018-07-01,Freiburg,1,1,2,am,no,C1,Pla_lan,9,110,29.66666667,0.346069603,0,0
2018-07-01,Freiburg,1,1,2,am,no,C1,Tri_arv,0,110,29.66666667,0.346069603,0,0
2018-07-01,Freiburg,1,1,2,am,no,C1,Tri_pra,0,110,29.66666667,0.346069603,0,0
2018-07-01,Freiburg,1,1,2,am,no,C2,Ach_mil,0,248,30.66666667,0.364843723,2,0.00952381
2018-07-01,Freiburg,1,1,2,am,no,C2,Cre_cap,24,248,30.66666667,0.364843723,0,0
